中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,97 ms,45 Mbps,5856 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,77 ms,345 Mbps,44236 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,97 ms,204 Mbps,26112 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,96 ms,24 Mbps,3190 kB/s
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,75 ms,261 Mbps,33484 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,92 ms,49 Mbps,6336 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,97 ms,48 Mbps,6250 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,164 ms,120 Mbps,15360 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,30 Mbps,3845 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,96 ms,48 Mbps,6182 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:105,KR,Seoul,隧道,206 ms,82 Mbps,10547 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,104 ms,49 Mbps,6321 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,88 ms,42 Mbps,5419 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,97 ms,296 Mbps,37888 kB/s
158.101.212.88,443,163.123.193.6,DE,Frankfurt,隧道,101 ms,260 Mbps,33280 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,237 ms,0 Mbps,17 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,229 ms,2 Mbps,307 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,258 ms,61 Mbps,7855 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,205 ms,69 Mbps,8950 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,273 ms,30 Mbps,3924 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,226 ms,33 Mbps,4231 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,196 ms,90 Mbps,11571 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,210 ms,36 Mbps,4641 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,213 ms,37 Mbps,4847 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,202 ms,71 Mbps,9093 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,242 ms,34 Mbps,4450 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,195 ms,35 Mbps,4537 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,205 ms,31 Mbps,4015 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,267 ms,34 Mbps,4426 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,253 ms,50 Mbps,6504 kB/s
130.162.144.191,443,2a09:bac1:3f20::22:123,KR,Seoul,隧道,201 ms,39 Mbps,5043 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,215 ms,2 Mbps,324 kB/s
8.219.73.59,443,47.245.127.33,SG,Singapore,隧道,289 ms,5 Mbps,761 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,347 ms,0 Mbps,12 kB/s
47.57.233.126,443,47.88.21.157,US,San Jose,隧道,209 ms,0 Mbps,19 kB/s
